Marathon Goal,Half-Marathon Goal,Recovery,Aerobic A/Easy,Aerobic B/Easy,Moderate Aerobic/Long Run,Marathon Pace/Tempo,Strength,10K Speed,5K Speed
5:00:00,2:24:00,14:22,13:32,12:41,12:16,11:27,11:17,10:30,10:04
4:45:00,2:17:00,13:43,12:55,12:06,11:41,10:52,10:42,9:58,9:34
4:30:00,2:10:00,13:02,12:12,11:25,11:05,10:18,10:08,9:27,9:04
4:15:00,2:02:00,12:22,11:38,10:52,10:29,9:44,9:34,8:55,8:33
4:00:00,1:55:00,11:41,11:01,10:15,9:53,9:09,8:59,8:24,8:03
3:55:00,1:53:00,11:28,10:40,10:00,9:38,8:58,8:48,8:13,7:53
3:50:00,1:50:00,11:15,10:34,9:51,9:29,8:46,8:36,8:03,7:43
3:45:00,1:48:00,11:01,10:21,9:39,9:18,8:35,8:25,7:52,7:33
3:40:00,1:45:00,10:48,10:08,9:27,9:06,8:23,8:13,7:42,7:23
3:35:00,1:43:00,10:34,9:55,9:14,8:53,8:12,8:02,7:31,7:13
3:30:00,1:41:00,10:19,9:41,9:02,8:42,8:01,7:51,7:21,7:03
3:25:00,1:38:00,10:06,9:28,8:49,8:29,7:49,7:39,7:10,6:53
3:20:00,1:36:00,9:53,9:16,8:38,8:18,7:38,7:28,7:00,6:43
3:15:00,1:33:00,9:38,9:02,8:25,8:05,7:26,7:16,6:49,6:33
3:10:00,1:31:00,9:25,8:49,8:13,7:54,7:15,7:05,6:39,6:23
3:05:00,1:29:00,9:11,8:36,8:01,7:42,7:03,6:53,6:28,6:12
3:00:00,1:26:00,8:57,8:23,7:48,7:29,6:52,6:42,6:18,6:02
2:55:00,1:24:00,8:43,8:10,7:36,7:17,6:40,6:30,6:07,5:52
2:50:00,1:21:30,8:28,7:56,7:23,7:05,6:29,6:19,5:57,5:42
2:45:00,1:19:00,8:15,7:43,7:11,6:53,6:18,6:08,5:46,5:32
2:40:00,1:17:00,8:00,7:30,6:58,6:41,6:06,5:56,5:36,5:22
2:35:00,1:14:00,7:46,7:17,6:46,6:29,5:55,5:45,5:25,5:12
2:30:00,1:12:00,7:32,7:03,6:34,6:17,5:43,5:33,5:15,5:02
2:25:00,1:09:30,7:18,6:50,6:21,6:05,5:32,5:22,5:04,4:52
2:20:00,1:07:00,7:03,6:36,6:08,5:52,5:20,5:10,4:54,4:42
2:15:00,1:04:45,6:49,6:23,5:56,5:40,5:09,4:59,4:43,4:32
2:10:00,1:02:30,6:35,6:09,5:43,5:28,4:57,4:47,4:33,4:22

